10:30,2
11:00,5
11:15,2
11:30,1
11:45,3
12:00,7
12:30,6
12:45,2
13:00,15
13:15,2
13:30,10
13:40,3
13:45,2
14:00,10
14:35,1
14:45,2
15:00,16
15:30,1
16:00,31
16:15,1
16:45,1
16:50,1
17:00,21
17:05,4
17:10,2
17:15,1
17:30,2
18:00,36
18:30,11
18:45,3
19:00,30
19:10,3
19:15,2
19:30,14
19:45,1
20:00,37
20:15,8
20:30,24
20:45,2
20:57,1
21:00,62
21:15,1
21:30,25
21:35,1
21:45,25
22:00,17
22:15,4
22:30,1
22:50,1
23:00,10
23:30,2
00:00,5
00:15,1
01:00,5
01:30,1
02:00,8
02:05,1
02:15,2
02:30,1
03:00,6
03:15,2
03:30,3
04:00,2
04:30,2
05:00,2
05:15,2
05:30,8
05:45,3
06:00,4
06:05,1
06:15,7
06:30,1
06:45,2
07:00,6
07:15,1
07:30,5
07:45,1
08:00,32
08:15,1
08:30,7
08:45,4
09:00,6
09:15,2
09:30,9
09:45,4
10:00,24
